統編,公司名稱,公司地址,ADDR_X,ADDR_Y
12220789,淦杰企業有限公司,114臺北市內湖區洲子街75號6樓之1,307665.465,2774770.735
12285902,飛裕股份有限公司,114臺北市內湖區瑞光路618號9樓之1,307038.485,2774816.023
12311535,昌晟企業股份有限公司,114臺北市內湖區內湖路1段388號7樓,307745.985,2774849.56
12402789,祥皓有限公司,114臺北市內湖區港墘路221巷35號3樓之1,307978.063,2774074.629
22283798,生昇塑膠股份有限公司,114臺北市內湖區瑞光路316巷5號,307895.801,2774362.563
28698725,淳鳴國際有限公司,114臺北市內湖區瑞光路302號5樓之1,307932.41,2774373.396
22340658,友俊國際股份有限公司,114臺北市內湖區瑞光路258巷56號4樓之1,307959.945,2774135.243
24316839,湧春有限公司,114臺北市內湖區基湖路3巷9號7樓之1,307118.059,2774879.007
22352990,旭蒙科技股份有限公司,114臺北市內湖區陽光街345巷12號5樓,308302.614,2773911.516
24577622,凱雷國際顧問有限公司,114臺北市內湖區瑞光路631號2樓,307140.326,2774802.918
24728059,鐿宸科技股份有限公司,114臺北市內湖區瑞光路288號2樓之1,308022.419,2774325.127
27998626,旭皇開發股份有限公司,114臺北市內湖區瑞光路605號7樓,307191.295,2774773.196
16307603,嵩森科技股份有限公司,114臺北市內湖區瑞光路605號7樓,307191.295,2774773.196
28004294,宜恩資產管理股份有限公司,114臺北市內湖區洲子街79號5樓之1,307648.437,2774778.146
27238549,弘記投資股份有限公司,114臺北市內湖區瑞光路581號,307295.158,2774731.743
28007715,遵宇科技股份有限公司,114臺北市內湖區瑞光路26巷36弄6號4樓,308691.278,2773572.923
42827587,回甘人生股份有限公司,114臺北市內湖區瑞光路583巷24號5樓,307314.548,2774823.408
52870056,回甘投資實業有限公司,114臺北市內湖區瑞光路583巷24號5樓,307314.548,2774823.408
16146500,昌宏興業股份有限公司,114臺北市內湖區瑞光路583巷24號5樓,307314.548,2774823.408
42829797,禾滔科技有限公司,114臺北市內湖區瑞光路513巷26號7樓之2,307474.238,2774727.762
52527878,全球灣流貿易有限公司,114臺北市內湖區舊宗路2段121巷25號3樓,308113.69,2773568.485
52497868,贏客服科技有限公司,114臺北市內湖區瑞光路266號2樓,308067.378,2774286.618
13091123,萊茵商旅名店股份有限公司,114臺北市內湖區內湖路1段396號12樓,307822.869,2774819.581
52509528,老戰士科技有限公司,114臺北市內湖區洲子街58號2樓,307784.756,2774671.919
96960370,英利生股份有限公司,114臺北市內湖區瑞光路607號10樓,307180.288,2774778.7
97089326,秦興企業有限公司,114臺北市內湖區瑞光路192號2樓,308222.119,2774179.017
16089233,眾晶科技股份有限公司,114臺北市內湖區港墘里陽光街300號8樓,307979.585,2773973.151
16131252,嘉倫提科技股份有限公司,114臺北市內湖區港墘路221巷35號5樓,307978.063,2774074.629
